,Parametros CH1,Valores CH1,Tiempo CH1,Voltaje CH1,Parametros CH3,Valores CH3,Tiempo CH3,Voltaje CH3
0,CH activo,1,-3.9e-05,1400.0,CH activo,3,-3.9e-05,-0.06
1,Int. Temporal,1e-07,-3.89e-05,1400.0,Int. Temporal,1e-07,-3.89e-05,-0.06
2,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;9.6E3
",-3.88e-05,1400.0,Trigger,"AUTO;EDGE;5.0E-7;CH1;DC;RISE;CH1;FIELD;NORMAL;1;NTSC;CH1;POSITIVE;EQUAL;1.0E-3;9.6E3
",-3.88e-05,-0.06
3,Unidades verticales,"""V""",-3.87e-05,1200.0,Unidades verticales,"""V""",-3.87e-05,-0.06
4,Volts x div,5.0E3,-3.8599999999999996e-05,1600.0,Volts x div,5.0E-1,-3.8599999999999996e-05,-0.02
5,Offset vertical (en unidades digitales),84.0,-3.85e-05,1400.0,Offset vertical (en unidades digitales),47.0,-3.85e-05,-0.02
6,Unidades horizontales,"""s""
",-3.84e-05,1200.0,Unidades horizontales,"""s""
",-3.84e-05,-0.06
7,Escala horizontal,1e-07,-3.83e-05,1200.0,Escala horizontal,1e-07,-3.83e-05,-0.06
8,Cero vertical (en unidades verticales),0.0,-3.82e-05,1200.0,Cero vertical (en unidades verticales),0.0,-3.82e-05,-0.02
9,Factor de Atenuacion,1.0E3,-3.81e-05,1400.0,Factor de Atenuacion,1.0E0,-3.81e-05,-0.08
10,Fecha,18-04-2023 15:48:13,-3.8e-05,1200.0,Fecha,18-04-2023 15:48:19,-3.8e-05,-0.06
11,0,0,-3.79e-05,1200.0,0,0,-3.79e-05,-0.06
12,0,0,-3.78e-05,1200.0,0,0,-3.78e-05,-0.08
13,0,0,-3.77e-05,1200.0,0,0,-3.77e-05,-0.04
14,0,0,-3.76e-05,1000.0,0,0,-3.76e-05,-0.02
15,0,0,-3.75e-05,1200.0,0,0,-3.75e-05,-0.04
16,0,0,-3.74e-05,1200.0,0,0,-3.74e-05,-0.02
17,0,0,-3.73e-05,1000.0,0,0,-3.73e-05,-0.04
18,0,0,-3.7199999999999996e-05,1000.0,0,0,-3.7199999999999996e-05,-0.06
19,0,0,-3.71e-05,1200.0,0,0,-3.71e-05,-0.04
20,0,0,-3.7e-05,1000.0,0,0,-3.7e-05,-0.06
21,0,0,-3.69e-05,1200.0,0,0,-3.69e-05,-0.06
22,0,0,-3.68e-05,1000.0,0,0,-3.68e-05,-0.08
23,0,0,-3.67e-05,1000.0,0,0,-3.67e-05,-0.02
24,0,0,-3.66e-05,1200.0,0,0,-3.66e-05,-0.02
25,0,0,-3.65e-05,1200.0,0,0,-3.65e-05,0.0
26,0,0,-3.64e-05,1200.0,0,0,-3.64e-05,-0.02
27,0,0,-3.63e-05,1000.0,0,0,-3.63e-05,-0.02
28,0,0,-3.62e-05,1200.0,0,0,-3.62e-05,-0.02
29,0,0,-3.6099999999999997e-05,1000.0,0,0,-3.6099999999999997e-05,-0.04
30,0,0,-3.6e-05,1000.0,0,0,-3.6e-05,-0.04
31,0,0,-3.59e-05,1000.0,0,0,-3.59e-05,-0.02
32,0,0,-3.58e-05,1000.0,0,0,-3.58e-05,-0.02
33,0,0,-3.57e-05,1000.0,0,0,-3.57e-05,-0.04
34,0,0,-3.56e-05,1000.0,0,0,-3.56e-05,-0.06
35,0,0,-3.55e-05,1000.0,0,0,-3.55e-05,-0.04
36,0,0,-3.54e-05,1200.0,0,0,-3.54e-05,-0.04
37,0,0,-3.53e-05,1200.0,0,0,-3.53e-05,-0.02
38,0,0,-3.52e-05,1000.0,0,0,-3.52e-05,-0.04
39,0,0,-3.51e-05,1000.0,0,0,-3.51e-05,-0.04
40,0,0,-3.5e-05,1000.0,0,0,-3.5e-05,-0.02
41,0,0,-3.49e-05,1000.0,0,0,-3.49e-05,-0.02
42,0,0,-3.48e-05,1000.0,0,0,-3.48e-05,0.0
43,0,0,-3.47e-05,1000.0,0,0,-3.47e-05,-0.04
44,0,0,-3.46e-05,1200.0,0,0,-3.46e-05,-0.02
45,0,0,-3.45e-05,1000.0,0,0,-3.45e-05,0.0
46,0,0,-3.4399999999999996e-05,1000.0,0,0,-3.4399999999999996e-05,-0.02
47,0,0,-3.43e-05,1000.0,0,0,-3.43e-05,-0.04
48,0,0,-3.42e-05,800.0,0,0,-3.42e-05,-0.02
49,0,0,-3.41e-05,1000.0,0,0,-3.41e-05,-0.02
50,0,0,-3.4e-05,1000.0,0,0,-3.4e-05,-0.02
51,0,0,-3.39e-05,600.0,0,0,-3.39e-05,-0.06
52,0,0,-3.38e-05,1000.0,0,0,-3.38e-05,-0.04
53,0,0,-3.37e-05,1000.0,0,0,-3.37e-05,0.0
54,0,0,-3.36e-05,1000.0,0,0,-3.36e-05,-0.04
55,0,0,-3.35e-05,1000.0,0,0,-3.35e-05,-0.02
56,0,0,-3.34e-05,1000.0,0,0,-3.34e-05,-0.04
57,0,0,-3.3299999999999996e-05,1000.0,0,0,-3.3299999999999996e-05,-0.02
58,0,0,-3.32e-05,1000.0,0,0,-3.32e-05,0.0
59,0,0,-3.31e-05,1000.0,0,0,-3.31e-05,-0.02
60,0,0,-3.3e-05,1000.0,0,0,-3.3e-05,0.0
61,0,0,-3.29e-05,800.0,0,0,-3.29e-05,0.02
62,0,0,-3.28e-05,1000.0,0,0,-3.28e-05,0.0
63,0,0,-3.27e-05,1200.0,0,0,-3.27e-05,0.0
64,0,0,-3.26e-05,1000.0,0,0,-3.26e-05,0.0
65,0,0,-3.25e-05,1000.0,0,0,-3.25e-05,-0.02
66,0,0,-3.24e-05,800.0,0,0,-3.24e-05,-0.02
67,0,0,-3.23e-05,1000.0,0,0,-3.23e-05,-0.04
68,0,0,-3.22e-05,1000.0,0,0,-3.22e-05,-0.02
69,0,0,-3.21e-05,800.0,0,0,-3.21e-05,-0.04
70,0,0,-3.2e-05,1200.0,0,0,-3.2e-05,-0.02
71,0,0,-3.19e-05,800.0,0,0,-3.19e-05,-0.02
72,0,0,-3.18e-05,1000.0,0,0,-3.18e-05,-0.02
73,0,0,-3.17e-05,800.0,0,0,-3.17e-05,0.0
74,0,0,-3.16e-05,1000.0,0,0,-3.16e-05,-0.02
75,0,0,-3.15e-05,1200.0,0,0,-3.15e-05,0.02
76,0,0,-3.14e-05,1200.0,0,0,-3.14e-05,0.0
77,0,0,-3.13e-05,1200.0,0,0,-3.13e-05,0.0
78,0,0,-3.12e-05,1000.0,0,0,-3.12e-05,0.02
79,0,0,-3.11e-05,1000.0,0,0,-3.11e-05,0.02
80,0,0,-3.1e-05,1000.0,0,0,-3.1e-05,0.02
81,0,0,-3.09e-05,1000.0,0,0,-3.09e-05,0.0
82,0,0,-3.08e-05,800.0,0,0,-3.08e-05,0.0
83,0,0,-3.07e-05,1000.0,0,0,-3.07e-05,0.0
84,0,0,-3.06e-05,1200.0,0,0,-3.06e-05,-0.02
85,0,0,-3.05e-05,1000.0,0,0,-3.05e-05,-0.02
86,0,0,-3.04e-05,1000.0,0,0,-3.04e-05,0.0
87,0,0,-3.0299999999999998e-05,1000.0,0,0,-3.0299999999999998e-05,0.0
88,0,0,-3.02e-05,1000.0,0,0,-3.02e-05,0.02
89,0,0,-3.01e-05,1000.0,0,0,-3.01e-05,0.0
90,0,0,-2.9999999999999997e-05,1000.0,0,0,-2.9999999999999997e-05,0.02
91,0,0,-2.9900000000000002e-05,1000.0,0,0,-2.9900000000000002e-05,0.02
92,0,0,-2.98e-05,1000.0,0,0,-2.98e-05,0.04
93,0,0,-2.97e-05,1200.0,0,0,-2.97e-05,-0.02
94,0,0,-2.96e-05,1200.0,0,0,-2.96e-05,0.0
95,0,0,-2.95e-05,1000.0,0,0,-2.95e-05,0.02
96,0,0,-2.94e-05,1000.0,0,0,-2.94e-05,0.02
97,0,0,-2.93e-05,1000.0,0,0,-2.93e-05,0.02
98,0,0,-2.9199999999999998e-05,1200.0,0,0,-2.9199999999999998e-05,0.0
99,0,0,-2.91e-05,1000.0,0,0,-2.91e-05,0.0
100,0,0,-2.9e-05,1200.0,0,0,-2.9e-05,-0.02
101,0,0,-2.8899999999999998e-05,1200.0,0,0,-2.8899999999999998e-05,-0.02
102,0,0,-2.8800000000000002e-05,1200.0,0,0,-2.8800000000000002e-05,0.0
103,0,0,-2.87e-05,1200.0,0,0,-2.87e-05,0.02
104,0,0,-2.86e-05,1000.0,0,0,-2.86e-05,0.02
105,0,0,-2.85e-05,1200.0,0,0,-2.85e-05,0.0
106,0,0,-2.84e-05,1200.0,0,0,-2.84e-05,0.0
107,0,0,-2.83e-05,1200.0,0,0,-2.83e-05,0.0
108,0,0,-2.82e-05,1200.0,0,0,-2.82e-05,0.02
109,0,0,-2.81e-05,1200.0,0,0,-2.81e-05,0.0
110,0,0,-2.8e-05,1200.0,0,0,-2.8e-05,0.0
111,0,0,-2.79e-05,1000.0,0,0,-2.79e-05,0.0
112,0,0,-2.7799999999999998e-05,1200.0,0,0,-2.7799999999999998e-05,0.0
113,0,0,-2.77e-05,1200.0,0,0,-2.77e-05,0.02
114,0,0,-2.76e-05,1200.0,0,0,-2.76e-05,-0.02
115,0,0,-2.7499999999999998e-05,1400.0,0,0,-2.7499999999999998e-05,0.02
